#meta	donor	organ	file	format	part	lab_kent_disassociation_protocol	lab_kent_quality	age	age_units	life_stage	sex	biosample_date	lab	assay	access
experiment_000	000	brain	ex00do00or00fa00.fq.gz	fastq	1	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa01.fq.gz	fastq	2	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa02.fq.gz	fastq	3	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa03.fq.gz	fastq	4	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa04.fq.gz	fastq	5	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa05.fq.gz	fastq	6	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa06.fq.gz	fastq	7	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa07.fq.gz	fastq	8	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa08.fq.gz	fastq	9	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa09.fq.gz	fastq	10	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa10.fq.gz	fastq	11	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa11.fq.gz	fastq	12	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa12.fq.gz	fastq	13	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa13.fq.gz	fastq	14	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa14.fq.gz	fastq	15	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa15.fq.gz	fastq	16	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa16.fq.gz	fastq	17	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa17.fq.gz	fastq	18	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa18.fq.gz	fastq	19	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	brain	ex00do00or00fa19.fq.gz	fastq	20	fetal_brain_digest.pdf	0	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa00.fq.gz	fastq	1	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa01.fq.gz	fastq	2	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa02.fq.gz	fastq	3	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa03.fq.gz	fastq	4	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa04.fq.gz	fastq	5	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa05.fq.gz	fastq	6	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa06.fq.gz	fastq	7	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa07.fq.gz	fastq	8	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa08.fq.gz	fastq	9	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa09.fq.gz	fastq	10	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa10.fq.gz	fastq	11	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
experiment_000	000	liver	ex00do00or01fa11.fq.gz	fastq	12	fetal_liver_digest.pdf	0.01	5	weeks	embryo	male	2015-01-00	lab_1	RNA-seq	all
