hg38_CytoBands_Info,b,c,d,e,f,chm13v2.0_CytoBands_Info,h,i,j,k,l,m,n
Chr,Start,End,BandName,Color,Length,Chr,Start,End,BandName,Color,Length,ConversionNotes,
chr1,0,2300000,p36.33,gneg,2300000,chr1,0,1735965,p36.33,gneg,1735965,liftover,
chr1,2300000,5300000,p36.32,gpos25,3000000,chr1,1735965,4816989,p36.32,gpos25,3081024,liftover,
chr1,5300000,7100000,p36.31,gneg,1800000,chr1,4816989,6629068,p36.31,gneg,1812079,liftover,
chr1,7100000,9100000,p36.23,gpos25,2000000,chr1,6629068,8634052,p36.23,gpos25,2004984,liftover,
chr1,9100000,12500000,p36.22,gneg,3400000,chr1,8634052,12044143,p36.22,gneg,3410091,liftover,
chr1,12500000,15900000,p36.21,gpos50,3400000,chr1,12044143,15341266,p36.21,gpos50,3297123,liftover,
chr1,15900000,20100000,p36.13,gneg,4200000,chr1,15341266,19923637,p36.13,gneg,4582371,liftover,
chr1,20100000,23600000,p36.12,gpos25,3500000,chr1,19923637,23434574,p36.12,gpos25,3510937,liftover,
chr1,23600000,27600000,p36.11,gneg,4000000,chr1,23434574,27441306,p36.11,gneg,4006732,liftover,
chr1,27600000,29900000,p35.3,gpos25,2300000,chr1,27441306,29743244,p35.3,gpos25,2301938,liftover,
chr1,29900000,32300000,p35.2,gneg,2400000,chr1,29743244,32157918,p35.2,gneg,2414674,liftover,
chr1,32300000,34300000,p35.1,gpos25,2000000,chr1,32157918,34161711,p35.1,gpos25,2003793,liftover,
chr1,34300000,39600000,p34.3,gneg,5300000,chr1,34161711,39468378,p34.3,gneg,5306667,liftover,
chr1,39600000,43700000,p34.2,gpos25,4100000,chr1,39468378,43570492,p34.2,gpos25,4102114,liftover,
chr1,43700000,46300000,p34.1,gneg,2600000,chr1,43570492,46177222,p34.1,gneg,2606730,liftover,
chr1,46300000,50200000,p33,gpos75,3900000,chr1,46177222,50078974,p33,gpos75,3901752,liftover,
chr1,50200000,55600000,p32.3,gneg,5400000,chr1,50078974,55482505,p32.3,gneg,5403531,liftover,
chr1,55600000,58500000,p32.2,gpos50,2900000,chr1,55482505,58377946,p32.2,gpos50,2895441,liftover,
chr1,58500000,60800000,p32.1,gneg,2300000,chr1,58377946,60678767,p32.1,gneg,2300821,liftover,
