acc	rand
BE276970	0.5971
AI445398	0.1105
AW059833	0.7612
R15307	0.4744
AA723634	0.0885
AL549822	0.0191
AA479693	0.8300
R07424	0.0928
AV713173	0.9738
BE967198	0.5906
BF303836	0.0318
BE568634	0.3872
AW885246	0.8404
AW449126	0.0406
BE221467	0.6819
W56757	0.2874
AA662684	0.3913
AL582741	0.0944
BF185767	0.2980
AI580544	0.2067
R41550	0.1397
AW900909	0.0782
AA488835	0.9719
BE894068	0.6251
AI629033	0.2097
AW503277	0.1734
BF903107	0.2379
BF876804	0.6690
AA768635	0.6315
AI493052	0.1504
AI222258	0.8574
AA743367	0.8358
AA287465	0.6069
BG119510	0.5272
AW860134	0.8151
BE698128	0.4938
AA601267	0.0237
AV700179	0.6374
H29956	0.1157
BE242606	0.6664
BE765843	0.9848
W76235	0.9247
AW386932	0.6693
AI261750	0.5725
BF315352	0.8544
AV661343	0.5547
AI826010	0.2100
AA290778	0.3862
H23082	0.3010
AA970401	0.3465
BF814547	0.8294
AW453029	0.1074
R28301	0.0488
AI351047	0.9220
AI811647	0.4635
AL134869	0.5516
AA476695	0.3676
AI358476	0.1830
AA005229	0.8123
BF377294	0.5127
BG115085	0.1262
BG024131	0.0932
BG015670	0.0873
F07082	0.1568
R17674	0.5220
Z20836	0.1398
AV746213	0.1327
W90139	0.2445
BG541040	0.8242
AA845853	0.3874
AA368668	0.4645
BE812530	0.1602
BE541316	0.4077
R32312	0.5577
AA480556	0.5655
H80600	0.1544
BF509989	0.0757
BE900446	0.9152
AI313227	0.3487
AW238583	0.9980
AI193720	0.9438
BG151996	0.7251
R11512	0.7940
BF528266	0.7949
BF196406	0.5924
BF055940	0.5773
BE900268	0.1092
BF663662	0.8142
AA303700	0.7435
BE043395	0.2748
BF195571	0.1436
AW235989	0.8935
AW516477	0.0367
T87543	0.5031
AU150776	0.4055
T03893	0.5182
W86420	0.3744
AW879684	0.3176
AA629559	0.4646
R60194	0.3704
BE328350	0.4581
AW068517	0.1792
AA465602	0.5217
AI799803	0.0709
BF973941	0.7894
AA074449	0.7344
Z44226	0.3036
AU140283	0.3149
AU131485	0.6637
AI028260	0.3739
AA393956	0.8785
AA862456	0.2706
BF435233	0.7177
N63408	0.7765
BG035371	0.7293
N36883	0.3171
AW876360	0.3975
AW302858	0.0364
H84155	0.9893
AA112661	0.8372
AA843983	0.2183
AW895537	0.5797
BF748226	0.2438
BF697634	0.4797
Z41858	0.6673
AU140601	0.8975
BE514688	0.4856
BE410560	0.7356
AW848262	0.2211
BE175924	0.8987
AA843280	0.8303
AV720899	0.4553
AI826062	0.7854
AA176416	0.5613
BF681000	0.4501
BF826304	0.5666
AW853567	0.4826
BE674388	0.7134
AW808027	0.1190
AI760292	0.4550
AA429793	0.9180
BF365340	0.2251
Z21352	0.3716
AA844407	0.1826
BF874377	0.7982
H89024	0.4432
AA714867	0.8215
AW850892	0.7778
AA631164	0.4244
AW376848	0.7887
BF908388	0.6701
AA316761	0.9846
AA716376	0.9128
N88304	0.6102
AA493753	0.3126
AW387673	0.7325
R52740	0.7246
AI799253	0.4256
AI863232	0.9542
AU131747	0.4941
BE763247	0.6080
BG251127	0.5577
BF740632	0.9645
BF895855	0.1493
BG057380	0.8532
AA291730	0.8181
AA371744	0.5307
AA079571	0.1992
AA350382	0.4042
AA480108	0.4231
AA053749	0.9028
AW875646	0.2449
BG166014	0.5161
