chr13:28318016-28818015	ENr111
chr2:51633239-52133238	ENr112
chr4:118705475-119205474	ENr113
chr10:54828416-55328415	ENr114
chr2:118389719-118889718	ENr121
chr18:59410290-59910289	ENr122
chr12:38626477-39126476	ENr123
chr2:234778639-235278638	ENr131
chr13:111238065-111738064	ENr132
chr21:39242993-39742992	ENr133
chr16:25839478-26339477	ENr211
chr5:141928468-142428467	ENr212
chr18:23717221-24217220	ENr213
chr5:55851135-56351134	ENr221
chr6:132157417-132657416	ENr222
chr6:73728830-74228829	ENr223
chr1:148374643-148874642	ENr231
chr9:127061347-127561346	ENr232
chr15:41448853-41948852	ENr233
chr14:51867364-52367363	ENr311
chr11:130637240-131137239	ENr312
chr16:62051662-62551661	ENr313
chr8:118769628-119269627	ENr321
chr14:97378512-97878511	ENr322
chr6:108310274-108810273	ENr323
chrX:121480070-121980069	ENr324
chr2:220479885-220979884	ENr331
chr11:63959673-64459672	ENr332
chr20:34556944-35056943	ENr333
chr6:41344772-41844771	ENr334
chr7:115365024-117242449	ENm001
chr5:131332631-132332630	ENm002
chr11:115994758-116494757	ENm003
chr22:30128508-31828507	ENm004
chr21:32666763-34362747	ENm005
chrX:151582202-152832201	ENm006
chr19:59023585-60024460	ENm007
chr16:1-500000	ENm008
chr11:4738729-5740320	ENm009
chr7:26699793-27199792	ENm010
chr11:1707725-2313772	ENm011
chr7:113487636-114487635	ENm012
chr7:89395718-90510141	ENm013
chr7:125633145-126796333	ENm014
