# registry.tsv - which unit test defends which Redmine ticket.  refs #38391
#
# A bug ticket has no way to say whether a test now defends its fix, and a test has no way
# to say which bug it came from.  This table answers both, and says which tickets are still
# waiting for a test.  It is hand written: nothing generates it, so adding the row is part
# of writing the test.
#
# Unit tests only.  The browser-page regression tests are the docent suite, refs #38252,
# where the script is already named for its ticket.  A ticket whose fix only changes what a
# page says is that suite's job and is not in here at all.
#
# Seven tab separated columns, sorted by ticket then by test:
#
#   ticket    the Redmine number, digits only
#   release   the version the fix ships in, digits only, from the ticket's Target version.
#             The table starts at v504.  A fix on master with no target version yet takes
#             "-" until the ticket says.
#   test      the file to open, as a path from kent/src, or "-" for a ticket that needs a
#             test and does not have one.  A suite whose cases are make targets adds
#             ::target, e.g. tests/makefile::relPath
#   docent    the browser test that watches the same ticket, from the docent suite in
#             hg/utils/docent/tests/regress, or "-" when there is none.  BOTH values are
#             checked: a named script must exist and must belong to this ticket, and a "-"
#             must still be true, so a script written later for a ticket whose row says "-"
#             fails rather than passing unnoticed.  Not a second copy
#             of that suite: it is here so "nothing is watching this ticket at all" is a
#             question the tool can answer, which is the question worth acting on.  A
#             docent script does not make a unit test unnecessary where the why is
#             invisible; rm38309 cannot see a read past the end of an array, it asserts
#             something next to it.
#   why       why this ticket needs a unit test rather than a browser test, or that it does
#             not need one:
#                 invisible  the fix changes nothing on screen.  No browser test can see
#                            it, so a unit test is the only test there can be.
#                 perf       the fix is about speed or memory.  The test has to catch
#                            backsliding, so it measures work done -- queries, passes,
#                            allocations, bytes -- and never wall-clock seconds.
#                 library    the fix is in library code that a browser reaches only
#                            through a page, where much else can go wrong first.
#                 page       the opposite claim: what changed is what a page says or does,
#                            so the docent suite is the right test and NO unit test is
#                            wanted.  These rows exist so that judgement is written down
#                            and can be argued with, instead of living in somebody's head
#                            as "that one does not need a unit test".  A page row never
#                            names a unit test, and `needed` leaves it out; `unwatched`
#                            does not, since a ticket with no test of any kind is worth
#                            seeing whichever kind it should have had.
#   evidence  what has been seen, weakest first: unrecorded, assertion-only, sandbox-ab,
#             release-ab, caught-regression.  "-" on a row with no test.  The vocabulary is
#             proof.js's from the docent suite, minus the two levels that need a browser,
#             so the two tables can be read on one scale.  Every row starts at unrecorded
#             and earns its way up by measurement, not by argument.
#   note      what the test holds down.  On a row with no test, what it would have to hold
#             down, which is the first thing the person who writes it needs.
#
# One ticket can have several rows and one test can defend several tickets; both happen
# here already.  A ticket cannot be both covered and waiting.
#
# `testRegistry check` reads every row and fails when one has rotted, so a test cannot be
# renamed or deleted without coming here.
#
#ticket	release	test	docent	why	evidence	note
10138	504	hg/lib/tests/sessionDirTester.c	rm10138.docent.yaml	invisible	sandbox-ab	the session directory hash is 10 characters and the legacy 8 is a prefix of it
20824	504	hg/utils/netToBigNet/tests/makefile::simpleTest	-	library	unrecorded	a net converted to bigNet and back, byte compared
27988	504	hg/lib/tests/geoMirrorSelfTester.c	-	invisible	sandbox-ab	the host the visitor typed decides which gbNode row the server calls itself
36212	504	hg/cgilib/tests/bedItemRgbTester.c	rm36212.docent.yaml	library	sandbox-ab	an explicit itemRgb on beats the presence of a color setting, in the stanza and from a parent
36292	504	-	-	page	-	the Keep-only-last-search checkbox on the BLAT form. The fix is in hg/hgBlat, hg/js, so what changed is what a page says or does
36621	504	-	-	page	-	header dependencies written by the compiler; the test is that the tree builds. The fix is in the makefiles, so what changed is what a page says or does
36940	504	-	rm36940.docent.yaml	page	-	the bigBedOnePath fallback removed, leaving one load path. The fix is in hg/hgTracks, hg/hgc, so what changed is what a page says or does
37263	504	lib/tests/pathSimplifyTest.c	-	library	unrecorded	dot-dot collapsing, checked against the right answer rather than against the old one
37595	504	-	-	page	-	where the iframe sits on an item details page. The fix is in hg/hgc, so what changed is what a page says or does
37617	505	hg/lib/tests/vcfInfoFilterTester.c	-	library	sandbox-ab	filter.*, filterText.* and filterValues.* on VCF INFO fields and vep sub-fields, and the warning for each filter the VCF header cannot support
37617	505	lib/tests/htmlEncodeTest.c	-	library	sandbox-ab	the tag strippers return a terminated string for a label with no tags in it
37618	505	hg/lib/tests/vcfInfoFilterTester.c	-	library	sandbox-ab	colorByInfo on an INFO field and on a vep sub-field, where the value declared first wins across a record's annotations
37621	504	-	-	page	-	a quickLift bigWig block placed by the window, not the chain. The fix is in hg/hgTracks, so what changed is what a page says or does
37929	504	-	-	page	-	the login page's wording and the social sign-in buttons. The fix is in hg/hgLogin, hg/lib, so what changed is what a page says or does
37969	504	-	rm37969.docent.yaml	library	-	needs one: a quickLifted container must not hide the tracks inside it. BLOCKED: dumpTdbAndChildren is static in trackHub.c and its public caller needs a cart
37984	504	lib/tests/hmacTest.c	-	library	sandbox-ab	the pending social identity is signed with hmacMd5, not a plain md5 of salt plus fields
37996	504	-	rm37996.docent.yaml	page	-	the new BLAT results page and its banner. The fix is in hg/hgBlat, hg/js, so what changed is what a page says or does
38086	504	-	rm38086.docent.yaml	invisible	-	needs one: a stale cart visibility variable must not hide a new BLAT result track. Docent covers it as of 2026-09-20, refs #38252. BLOCKED for a unit test: checkGroup is static in customFactory.c and the path needs a cart
