GCA_004365145.1_OryAfe_v1_BIUU	aardvark (BS58 2019 Broad)
GCF_001663975.1_Xenopus_laevis_v2	African clawed frog (2016)
GCA_000001905.1_Loxafr3.0	African savanna elephant (2009 genbank)
GCA_000767525.1_Vi_pacos_V1.0	alpaca (2015 BGI)
GCA_004027675.1_CasCan_v1_BIUU	American beaver (US014 2019 Broad)
GCA_000754665.1_Bison_UMD1.0	American bison (2014 genbank)
GCA_000292845.1_OchPri3.0	American pika 3.0 (2012 Broad genbank)
GCA_000464555.1_PanTig1.0	Amur tiger (TaeGuk 2013 genbank)
GCA_000767585.1_PRJNA234474_Ca_dromedarius_V1.0	Arabian camel (2014 genbank)
GCA_004023825.1_VulLag_v1_BIUU	Arctic fox (US066 2019 Broad)
GCA_001305755.1_ASM130575v1	ass (Maral har 2015 genbank)
GCF_900700415.1_Ch_v2.0.2	Atlantic herring (v1)
GCF_000002995.3_ASM299v2	B.malayi (v3 2008 agent of lymphatic filariasis)
GCA_000767855.1_Ca_bactrianus_MBC_1.0	Bactrian camel (Alxa 2014 genbank)
GCF_000687205.1_ASM68720v1	barn owl BGI_N341 (2014)
GCF_902150015.1_genome_assembly_l500	barn owl (2020)
GCF_016920785.1_Ixodes_scapularus_ComboLowHiFi	black-legged tick (U.Maryland v1 2021)
GCA_001698545.1_ASM169854v1	black snub-nosed monkey genbank
GCF_000235385.1_SaiBol1.0	Bolivian squirrel monkey (2011)
GCF_003584765.1_ASM358476v1	brown bear (v1 2018)
GCA_004024565.1_ZalCal_v1_BIUU	California sea lion (BS06 2019 Broad)
GCA_004027935.1_ChrAsi_v1_BIUU	Cape golden mole (BS56 2019 Broad)
GCF_001659605.1_Manihot_esculenta_v6	cassava (v6 AM560-2 2016 DOE)
GCA_000003205.6_Btau_5.0.1	cattle (Hereford 2015)
GCA_001443585.1_aciJub1	cheetah (AJU 981 2015)
GCA_002880755.3_Clint_PTRv2	chimpanzee genbank
GCF_002994745.1_RchiOBHm-V2	China rose (Old Blush v1 2018)
GCF_003668045.1_CriGri-PICR	Chinese hamster (17A/GY CHO 2018)
GCA_000738955.1_M_pentadactyla-1.1.1	Chinese pangolin (MPE899 2014 WashU)
GCA_001922835.1_NIST_Tur_tru_v1	common bottlenose dolphin (MMES2002162SC 2016 genbank)
GCF_000951615.1_common_carp_genome	common carp (2014)
GCF_000709325.1_ASM70932v1	common cuckoo (BGI 2014)
GCF_000365465.2_Ptep_2.0	common house spider (v2 2017)
GCA_002940915.2_ASM294091v2	common vampire bat (DRU21DN04 2018 genbank)
GCA_000956105.1_Pcoq_1.0	Coquerel's sifaka 6110/Marcella (2015 genbank)
GCA_000364345.1_Macaca_fascicularis_5.0	crab-eating macaque WashU 2013 genbank
GCF_000364345.1_Macaca_fascicularis_5.0	crab-eating macaque WashU 2013 refseq
GCA_000260255.1_OctDeg1.0	degu (3935 2012 genbank)
GCA_004027395.1_CanFam_VD_v1_BIUU	dog (BS72 2019 Broad)
GCF_000215625.1_MusPutFur1.0	domestic ferret (Sable ID 1420 FGSC 2011)
GCA_000151735.1_Cavpor3.0	domestic guinea pig (2N 2008 genbank)
GCF_000699005.1_ASM69900v1	downy woodpecker (BGI 2014)
GCA_004024865.1_RouAeg_v1_BIUU	Egyptian rousette (US006 2019 Broad)
GCF_000165045.1_Callorhinchus_milii-6.1.3	elephant shark (2013)
GCF_903992535.1_mArvAmp1.1	Eurasian water vole (v1 2020)
GCA_000243295.1_TriManLat1.0	Florida manatee (Lorelei 2012 genbank)
GCF_000005975.2_dyak_caf1	fly D.yakuba (2018)
GCF_016746365.1_Prin_Dyak_Tai18E2_2.0	fly D.yakuba (v1 2021)
GCF_000004335.2_AilMel_1.0	giant panda
GCA_001704415.1_ARS1	goat (San Clemente 2016 USDA genbank)
GCA_000349665.1_MesAur1.0	golden hamster (Baylor 2013 genbank)
GCA_000769185.1_Rrox_v1	golden snub-nosed monkey (2014 Novogene)
GCA_000165445.3_Mmur_3.0	gray mouse lemur genbank
GCA_001890085.1_ASM189008v1	great roundleaf bat (ML-2016 2016 genbank)
GCA_004026985.1_MyoMyo_v1_BIUU	greater mouse-eared bat (2019 Broad)
GCF_000002595.1_v3.0	green algae C.reinhardtii CC-503 cw92 (v1 2007)
GCA_000409795.2_Chlorocebus_sabeus_1.1	green monkey 1994-021 (2014 genbank)
GCF_000344595.1_CheMyd_1.0	green sea turtle (BGI 2013)
GCF_015237465.1_rCheMyd1.pri	green sea turtle (v1 2020)
GCF_002201575.1_ASM220157v1	Hawaiian monk seal (2017 Johns Hopkins U)
GCF_000738735.2_ASM73873v2	hooded crow (2017)
GCA_000002305.1_EquCab2.0	horse (Twilight 2007 genbank)
GCF_000001635.26_GRCm38.p6	house mouse
GCF_002922805.1_Om_v0.7.RACA	Indian medaka
GCA_004027435.1_ArtJam_v1_BIUU	Jamaican fruit-eating bat (US092 2019 Broad)
GCF_001577835.1_Coturnix_japonica_2.0	Japanese quail
GCF_009764565.2_rDerCor1.pri.v3	leatherback sea turtle (v3 2020)
GCA_000280705.1_JacJac1.0	lesser Egyptian jerboa (JJ0015 2012 genbank)
GCF_002870075.1_Lsat_Salinas_v7	lettuce (Salinas v1 2018)
GCA_001857705.1_PanPar1.0	leopard (Maewha 2016 genbank)
GCA_000952055.2_Anan_2.0	Ma's night monkey genbank
GCA_001685135.1_ManJav1.0	Malayan pangolin (MP_PG03-UM 2016 genbank)
GCF_000231095.1_Oryza_brachyantha.v1.4b	malo sina (v1 2012)
GCF_001649575.1_ASM164957v1	mangrove rivulus
GCA_004023905.1_SurSur_v1_BIUU	meerkat (BS45 2019 Broad)
GCA_000493695.1_BalAcu1.0	minke whale (2013 genbank)
GCA_004026785.1_MerUng_v1_BIUU	Mongolian gerbil (US013 2019 Broad)
GCA_000247695.1_HetGla_female_1.0	naked mole-rat (NMR 29 2012 genbank)
GCA_004026685.1_MonMon_M_v1_BIUU	narwhal (BS41 2019 Broad)
GCF_000471905.2_AMTR1.0	New South Wales waratah (AGSP 2013)
GCA_000208655.2_Dasnov3.0	nine-banded armadillo (3-136 2012 Baylor genbank)
GCA_000146795.3_Nleu_3.0	northern white-cheeked gibbon (2012 GGSC)
GCA_015227675.2_mRatBN7.2	Norway rat BN7 genbank
GCF_000264685.3_Panu_3.0	olive baboon (2017 HGSC RefSeq)
