GCA_000826245.1_Acanthamoeba_astronyxis	A.astronyxis (2015)
GCA_000826485.1_Acanthamoeba_castellanii	A.castellanii (2015)
GCA_021020595.1_ASM2102059v1	A.castellanii (C3 2021)
GCA_000193105.1_Acas_2.0	A.castellanii (Neff 2011)
GCA_021020605.1_ASM2102060v1	A.castellanii (Neff 2021)
GCA_000313135.1_Acastellanii.strNEFF_v1	A.castellanii str. (Neff 2013 genbank)
GCF_000313135.1_Acastellanii.strNEFF_v1	A.castellanii str. (Neff 2013 refseq)
GCA_002025285.2_ASM202528v2	A.comandoni (Pb30/40 2025)
GCA_000826265.1_Acanthamoeba_culbertsoni_genome_assembly	A.culbertsoni (2015)
GCA_000826405.1_Acanthamoeba_divionensis	A.divionensis (2015)
GCA_000826305.1_Acanthamoeba_healyi	A.healyi (2015)
GCA_000826285.1_Acanthamoeba_lenticulata	A.lenticulata (2015)
GCA_002105255.2_ASM210525v2	A.lenticulata (72/2 2025)
GCA_000826425.1_Acanthamoeba_lugdunensis	A.lugdunensis (2015)
GCA_000826465.1_Acanthamoeba_mauritaniensis	A.mauritaniensis (2015)
GCA_000826325.1_Acanthamoeba_palestinensis	A.palestinensis (2015)
GCA_000826505.1_Acanthamoeba_pearcei	A.pearcei (2015)
GCA_000826345.1_Acanthamoeba_polyphaga	A.polyphaga (2015)
GCA_000826445.1_Acanthamoeba_quina	A.quina (2015)
GCA_000826385.1_Acanthamoeba_rhysodes	A.rhysodes (2015)
GCA_000826365.1_Acanthamoeba_royreba	A.royreba (2015)
GCA_027943295.1_ASM2794329v1	A.sp. (SK_2022a 2023)
GCA_027943245.1_ASM2794324v1	A.sp. (SK_2022b 2023)
GCA_027944975.1_ASM2794497v1	A.sp. (SK_2022c 2023)
GCF_013267415.1_ASM1326741v1	Abiotrophia defectiva (FDAARGOS_785 2020)
GCF_016728825.1_ASM1672882v1	Achromobacter xylosoxidans (FDAARGOS_1091 2021)
GCF_009035845.1_ASM903584v1	Acinetobacter baumannii (ATCC 19606 2019)
GCF_030253495.1_ASM3025349v1	Actinomyces israelii (F0345 2023)
GCF_000863065.1_ViralProj15323	Adeno-associated virus - 1 (2000)
GCF_000841585.1_ViralProj14319	Adeno-associated virus - 3 (3H 2000)
GCF_000836885.1_ViralProj14030	Adeno-associated virus - 4 (ATCC VR-646 2000)
GCF_000845645.1_ViralProj14454	Adeno-associated virus - 7 (2004)
GCF_000846525.1_ViralProj14455	Adeno-associated virus - 8 (2004)
GCF_000838645.1_ViralProj14060	adeno-associated virus 2 (1993)
GCF_000846385.1_ViralProj14426	adeno-associated virus 5 (2004)
GCF_000864245.1_ViralMultiSegProj16144	Adult diarrheal rotavirus strain J19 (J19 2005)
GCF_001543175.1_ASM154317v1	Aerococcus urinae (CCUG 36881 2016)
GCF_000014805.1_ASM1480v1	Aeromonas hydrophila subsp. hydrophila (ATCC 7966 2006)
GCA_000733445.1_LLoa-hgap-1	African eye worm (CAT 2014)
GCA_003951495.1_AfunF3	African malaria mosquito (FUMOZ 2018)
GCF_000005575.2_AgamP3	African malaria mosquito (PEST 2006)
GCF_943734845.2_idAnoFuneDA-416_04	African malaria mosquito (primary hap DQ-416_04 2022)
GCF_943734735.2_idAnoGambNW_F1_1	African malaria mosquito (primary hap NW_F1_1 2022)
GCA_000150785.1_g4	African malaria mosquito (S 2008)
GCF_003032925.1_26544_10	African swine fever virus (26544/OG10 2019)
GCF_003033005.1_ASM303300v1	African swine fever virus (47/Ss/2008 2019)
GCF_003047755.2_ASM304775v2	African swine fever virus (ASFV Georgia 2007/1 2020)
GCF_003032875.1_ASM303287v1	African swine fever virus (BA71 2019)
GCF_000858485.1_ViralProj15242	African swine fever virus (BA71V 2014)
GCF_003047675.1_ASM304767v1	African swine fever virus (Benin 97/1 2019)
GCF_003047715.1_ASM304771v1	African swine fever virus (E75 2019)
GCF_003032905.1_ASM303290v1	African swine fever virus (Ken05/Tk1 2019)
GCF_003032915.1_ASM303291v1	African swine fever virus (Ken06.Bus 2019)
GCF_003032865.1_ASM303286v1	African swine fever virus (L60 2019)
GCF_003032885.1_ASM303288v1	African swine fever virus (NHV 2019)
GCF_003047695.1_ASM304769v1	African swine fever virus (OURT 88/3 2019)
GCF_000861885.1_ViralProj15441	Aichi virus 1 (A846/88 1998)
GCF_018594555.1_ASM1859455v1	Aigai virus (AP92 2023)
GCF_006452035.1_ASM645203v1	Akhmeta virus (Akhmeta_2013-88 2021)
GCF_000967305.2_ASM96730v2	Alcaligenes faecalis (ZD02 2015)
GCF_013086385.1_ASM1308638v1	Alenquer virus (2021)
GCA_031116565.1_ASM3111656v1	Alkhumra hemorrhagic fever virus (Zaki #2 2012)
GCF_000836865.1_ViralProj14025	Alphapapillomavirus 12 (2000)
GCF_000862805.1_ViralProj15451	Alphapapillomavirus 3 (2000)
GCF_000864945.1_ViralProj15512	Alphapapillomavirus 4 (1991)
GCA_000211455.3_A_darlingi_v1	American malaria mosquito (2013)
GCF_943734745.1_idAnoDarlMG_H_01	American malaria mosquito (primary hap 2022)
GCA_900624975.1_A_costaricensis_Costa_Rica_0011_upd	American rat lungworm (Costa Rica 2018)
GCF_000964685.1_ASM96468v1	Anaplasma phagocytophilum str. (Webster 2015)
GCF_004286455.1_ASM428645v1	Anelloviridae sp. (ctbb016 2023)
GCF_004285675.1_ASM428567v1	Anelloviridae sp. (ctbc019 2023)
GCF_004286695.1_ASM428669v1	Anelloviridae sp. (ctbd020 2023)
GCF_004286755.1_ASM428675v1	Anelloviridae sp. (ctbf014 2023)
GCF_004285795.1_ASM428579v1	Anelloviridae sp. (ctbf050 2023)
GCF_004285195.1_ASM428519v1	Anelloviridae sp. (ctbg056 2023)
GCF_004286375.1_ASM428637v1	Anelloviridae sp. (ctbi042 2023)
GCF_004287315.1_ASM428731v1	Anelloviridae sp. (ctcd026 2023)
GCF_004287355.1_ASM428735v1	Anelloviridae sp. (ctcf040 2023)
GCF_004287275.1_ASM428727v1	Anelloviridae sp. (ctea38 2023)
GCF_004286855.1_ASM428685v1	Anelloviridae sp. (ctei055 2023)
GCF_004286675.1_ASM428667v1	Anelloviridae sp. (ctga035 2023)
GCF_006370125.1_ASM637012v1	Anelloviridae sp. (vzttmv5 2023)
GCA_903995115.1_Adeanei_nanopore_chromosomes	Angomonas (Crithidia deanei Carvalho ATCC PRA-265 2020)
GCF_002145785.1_ViralMultiSegProj386346	Anjozorobe virus (Anjozorobe/Em/MDG/2009/ATD49 2017)
GCF_002563875.1_Bbes1.0	apicomplexans B.besnoiti (Bb-Ger1 2017)
GCA_000723445.1_BBBOND_0001	apicomplexans B.bigemina (BOND 2014)
GCF_000165395.2_ASM16539v2	apicomplexans B.bovis (T2Bo 2021)
GCF_024862765.1_Bcaballi_D6B2_v1.0	apicomplexans B.caballi (USDA-D6B2 2022)
GCA_018398725.1_ASM1839872v1	apicomplexans B.divergens (1802A 2021)
GCA_001077455.2_ASM107745v2	apicomplexans B.divergens (Rouen 1987 2018)
GCA_024586265.1_ASM2458626v1	apicomplexans B.duncani (WA1 2022)
GCF_028658345.1_Bduncani_v1	apicomplexans B.duncani (WA1 2023)
GCA_001650055.1_ASM165005v1	apicomplexans B.microti (ATCC 30222 2016)
GCA_001650065.1_ASM165006v1	apicomplexans B.microti (ATCC PRA-99 2016)
GCA_001650105.1_ASM165010v1	apicomplexans B.microti (GI 2016)
GCA_001650075.1_ASM165007v1	apicomplexans B.microti (GreenwichYale_Lab_strain_1 2016)
GCA_001650145.1_ASM165014v1	apicomplexans B.microti (Nan_Hs_2011_N11-50 2016)
GCA_001650135.1_ASM165013v1	apicomplexans B.microti (Naushon 2016)
GCF_000691945.2_ASM69194v2	apicomplexans B.microti strain (RI 2015)
GCF_002897235.1_Bovata_7.1	apicomplexans B.ovata (Miyake 2017)
GCA_023705535.2_Bovis.genome.20180530v2	apicomplexans B.ovis (Selcuk 2022)
GCF_002095265.1_B_xinjiang1.0	apicomplexans B.sp. (Xinjiang 2017)
GCF_001865355.1_ASM186535v1	apicomplexans C.andersoni (30847 2016)
GCA_001593455.1_CryBaiTAMU-09Q1-1.0	apicomplexans C.baileyi (TAMU-09Q1 2016)
GCF_009768925.1_ASM976892v2	apicomplexans C.bovis (45015 2021)
GCA_003945175.1_ASM394517v1	apicomplexans C.cayetanensis (CDC HCDC004_96 2018)
GCA_003945135.1_ASM394513v1	apicomplexans C.cayetanensis (CDC HCGM002_97 2018)
GCA_003945085.1_ASM394508v1	apicomplexans C.cayetanensis (CDC HCGM012_97 2018)
GCA_003945075.1_ASM394507v1	apicomplexans C.cayetanensis (CDC HCJK011_15 2018)
GCA_003945155.1_ASM394515v1	apicomplexans C.cayetanensis (CDC HCJK015_15 2018)
GCA_003945065.1_ASM394506v1	apicomplexans C.cayetanensis (CDC HCMX010_16 2018)
GCA_003945055.1_ASM394505v1	apicomplexans C.cayetanensis (CDC HCNE181_16 2018)
GCA_003945145.1_ASM394514v1	apicomplexans C.cayetanensis (CDC HCNP016_97 2018)
GCA_003945045.1_ASM394504v1	apicomplexans C.cayetanensis (CDC HCTX365_13 2018)
GCA_003944945.1_ASM394494v1	apicomplexans C.cayetanensis (CDC HCTX460_16 2018)
GCA_003944975.1_ASM394497v1	apicomplexans C.cayetanensis (CDC HCTX495_16 2018)
GCA_003944985.1_ASM394498v1	apicomplexans C.cayetanensis (CDC HCTX503_16 2018)
GCA_003944965.1_ASM394496v1	apicomplexans C.cayetanensis (CDC HCTX535_14 2018)
GCA_003944955.1_ASM394495v1	apicomplexans C.cayetanensis (CDC HCTX547_15 2018)
GCA_002893405.1_ASM289340v1	apicomplexans C.cayetanensis (CDC:HCFL47:13 2018)
GCA_002019465.1_ASM201946v1	apicomplexans C.cayetanensis (CDC:HCGM01:97 2017)
GCA_002893445.1_ASM289344v1	apicomplexans C.cayetanensis (CDC:HCGM11:97 2018)
GCA_002019475.1_ASM201947v1	apicomplexans C.cayetanensis (CDC:HCJK01:14 2017)
GCA_002893425.1_ASM289342v1	apicomplexans C.cayetanensis (CDC:HCNY16:01 2018)
GCA_002019905.1_ASM201990v1	apicomplexans C.cayetanensis (CDC:HCRI01:97 2017)
GCA_002893365.1_ASM289336v1	apicomplexans C.cayetanensis (CDC:HCTX204:15 2018)
GCA_003057635.1_ASM305763v1	apicomplexans C.cayetanensis (CDC:HCTX205:15 2018)
GCA_002893465.1_ASM289346v1	apicomplexans C.cayetanensis (CDC:HCTX227:15 2018)
GCA_002893315.1_ASM289331v1	apicomplexans C.cayetanensis (CDC:HCTX230:15 2018)
GCA_002893485.1_ASM289348v1	apicomplexans C.cayetanensis (CDC:HCTX48:14 2018)
GCA_002019455.1_ASM201945v1	apicomplexans C.cayetanensis (CDC:HCTX69:14 2017)
GCA_002893375.1_ASM289337v1	apicomplexans C.cayetanensis (CDC:HCVA02:15 2018)
GCA_000769155.2_ASM76915v2	apicomplexans C.cayetanensis (CHN_HEN01 2016 genbank)
GCF_000769155.1_ASM76915v2	apicomplexans C.cayetanensis (CHN_HEN01 2016 refseq)
GCA_002893305.1_ASM289330v1	apicomplexans C.cayetanensis (CHN_HEN01 2018)
GCA_038051855.1_USDA_Mex32	apicomplexans C.cayetanensis (Mex32 2024)
GCF_002999335.1_CcayRef3	apicomplexans C.cayetanensis (NF1_C8 2018)
GCA_020283715.1_ASM2028371v1	apicomplexans C.felis (Winnie 2021)
GCA_002223825.1_C.hominis.v1	apicomplexans C.hominis (2015)
GCA_001483515.1_ASM148351v1	apicomplexans C.hominis (30976 2015)
GCA_000804495.1_ASM80449v1	apicomplexans C.hominis (37999 2014)
GCF_000006425.1_ASM642v1	apicomplexans C.hominis (TU502 2004 refseq)
GCA_001593465.1_CryHomTU502-1.0	apicomplexans C.hominis (TU502_2012 2016)
GCA_001593475.1_CryHomUKH1-1.0	apicomplexans C.hominis (UKH1 2016)
GCA_001593445.1_CryMelUKMEL1-1.0	apicomplexans C.meleagridis (UKMEL1 2016)
GCF_000006515.1_JCVI_cmg_v1.0	apicomplexans C.muris (RN66 2008)
GCA_019844115.2_ASM1984411v2	apicomplexans C.parvum (2021)
GCF_000165345.1_ASM16534v1	apicomplexans C.parvum (Iowa type II 2007)
GCA_015245375.1_ASM1524537v1	apicomplexans C.parvum (IOWA-ATCC 2020)
GCF_009792415.1_ASM979241v2	apicomplexans C.ryanae (45019 2022)
GCA_000831705.1_ASM83170v1	apicomplexans C.sp. (chipmunk LX-2015 2015)
GCF_004936735.1_CCh_genotype_I	apicomplexans C.sp. chipmunk genotype I (37763 2021 refseq)
GCA_002600585.1_ASM260058v1	apicomplexans C.suis (Wien I 2017 genbank)
GCF_002600585.1_ASM260058v1	apicomplexans C.suis (Wien I 2017 refseq)
GCA_007210665.1_Ctyz_UGA_55	apicomplexans C.tyzzeri (UGA55 2019)
GCF_001865345.1_ASM186534v1	apicomplexans C.ubiquitum (39726 2016)
GCF_000499425.1_EAH001	apicomplexans E.acervulina (Houghton 2013)
GCA_000499725.1_EBH001	apicomplexans E.brunetti (Houghton 2013)
GCA_002271815.1_ASM227181v1	apicomplexans E.falciformis (Bayer Haberkorn 1970 2017)
GCF_000499605.1_EMW001	apicomplexans E.maxima (Weybridge 2013)
GCF_000499745.2_EMH001	apicomplexans E.mitis (Houghton 2013)
GCF_000499385.1_ENH001	apicomplexans E.necatrix (Houghton 2013)
GCA_000499445.1_EPH001	apicomplexans E.praecox (Houghton 2013)
GCA_905310635.1_pEimTen1.1	apicomplexans E.tenella (2021)
GCF_000499545.1_ETH001	apicomplexans E.tenella (v1 Houghton 2013)
GCF_000223845.1_GNI3	apicomplexans G.niphandrodes (2014)
GCF_000258005.1_HHA1_v02	apicomplexans H.hammondi (H.H.34 2014)
GCA_902459845.2_HEP1	apicomplexans H.sp. ex Piliocolobus tephrosceles (2020)
GCA_001625125.1_ASM162512v1	apicomplexans H.tartakovskyi (SISKIN1 2016)
GCF_000208865.1_ASM20886v2	apicomplexans N.caninum (Liverpool 2011)
GCA_016097395.1_Ncaninum_LIV	apicomplexans N.caninum (Liverpool 2020)
GCF_900002375.2_GCA_900002375	apicomplexans P.berghei (ANKA 2019)
GCF_023973825.1_ASM2397382v1	apicomplexans P.brasilianum (Bolivian I 2022)
GCF_019968955.1_MNHN_PgigA_v1	apicomplexans P.cf. gigantea (A 2021)
GCF_019968985.1_MNHN_PgigB_v1.1	apicomplexans P.cf. gigantea (B 2021 refseq)
GCF_900002335.3_GCA_900002335	apicomplexans P.chabaudi chabaudi (AS 2019)
GCF_001680005.1_ASM168000v1	apicomplexans P.coatneyi (Hackeri 2016)
GCA_900180395.1_PcyM	apicomplexans P.cynomolgi (M 2017)
GCF_000321355.1_PcynB_1.0	apicomplexans P.cynomolgi strain (B 2012)
GCF_000956335.1_Plas_frag_nilgiri_V1	apicomplexans P.fragile (nilgiri 2015)
GCA_900097045.1_PGABG01	apicomplexans P.gaboni (2021)
GCF_001602025.1_ASM160202v1	apicomplexans P.gaboni (SY75 2016)
GCF_900005855.1_PGAL8A	apicomplexans P.gallinaceum (8A 2016)
GCF_000524495.1_Plas_inui_San_Antonio_1_V1	apicomplexans P.inui (San Antonio 1 2014)
GCA_900162085.1_PkA1H1_v1	apicomplexans P.knowlesi (2017)
GCA_002140095.1_PKNOHv1	apicomplexans P.knowlesi (Malayan Strain Pk1 A 2017)
GCF_000006355.2_GCA_000006355.2	apicomplexans P.knowlesi strain (H 2020)
GCA_900097025.1_PRG01	apicomplexans P.reichenowi (2018)
GCF_000723685.1_PREICH001	apicomplexans P.reichenowi (CDC 2014)
GCF_900005765.1_PRELSG	apicomplexans P.relictum (SGS1 2016)
GCA_900257145.2_Plasmodium_billcollinsi	apicomplexans P.sp. DRC-Itaito (2020)
GCA_900095595.1_PPRFG01	apicomplexans P.sp. gorilla clade G1 (2018)
GCF_900097015.1_PADLG01	apicomplexans P.sp. gorilla clade G2 (2018)
GCA_900097035.1_PBLACG01	apicomplexans P.sp. gorilla clade G3 (2018)
GCA_903994265.1_PVSEL_v1	apicomplexans P.vinckei (2020)
GCF_000709005.1_Plas_vinc_vinckei_V1	apicomplexans P.vinckei (vinckei 2014)
GCA_903994205.1_PVBDA_v1	apicomplexans P.vinckei brucechwatti (2020)
GCA_903994225.1_PVLDE_v1	apicomplexans P.vinckei lentum (2020)
GCA_903994235.1_PVPCR_v1	apicomplexans P.vinckei petteri (2020)
GCA_000524515.1_Plas_vinc_pett_CR_V1	apicomplexans P.vinckei petteri (CR 2014)
GCF_900681995.1_PVVCY_v1	apicomplexans P.vinckei vinckei (2019)
GCF_900002385.2_GCA_900002385	apicomplexans P.yoelii (17X 2019)
GCA_900002395.1_PYYM01	apicomplexans P.yoelii (YM 2014)
GCF_000003085.2_ASM308v2	apicomplexans P.yoelii yoelii (17XNL 2002)
GCA_020844765.3_17XNL_PSU_2	apicomplexans P.yoelii yoelii (17XNL clone 1.1 2023)
GCA_000875885.1_ASM87588v1	apicomplexans S.neurona (SN1 2015)
GCA_000727475.1_ASM72747v1	apicomplexans S.neurona (SN3 2014)
GCA_000003225.1_ASM322v1	apicomplexans T.annulata (v1 Ankara isolate clone C9 2005)
GCF_000342415.1_JCVI-bewag-v1.1	apicomplexans T.equi strain (WA 2012)
GCA_000250965.2_TGARI_v2	apicomplexans T.gondii (ARI 2016)
