Y48E1B.1	uc001aaj.1	31.94	72	49	0	2	73	15	86	2e-05	48.5
C53D5.5	uc003aax.1	41.68	547	299	12	101	642	38	569	2e-109	 394
F13H8.7	uc003aag.1	62.14	383	145	0	4	386	2	384	1e-139	 493
H02I12.3	uc003aab.1	22.66	353	203	12	47	378	10	313	2e-07	54.7
H14N18.4a	uc003aax.1	39.38	546	303	13	102	633	38	569	3e-89	 327
H14N18.4b	uc003aax.1	39.38	546	303	13	72	603	38	569	2e-89	 327
T01C4.6	uc003aab.1	36.36	55	35	0	79	133	80	134	0.002	40.8
T03D8.6	uc003aax.1	34.66	554	345	12	26	578	32	569	1e-78	 291
T19H12.6	uc003aax.1	27.31	432	256	17	215	594	34	459	1e-23	 108
Y116A8C.42	uc003aam.1	69.57	92	28	0	3	94	2	93	3e-33	 137
Y7A9A.1	uc003aax.1	36.86	548	322	14	69	607	37	569	1e-84	 311
Y97E10AR.2a	uc003aax.1	24.13	373	253	10	314	664	38	402	9e-21	99.8
Y97E10AR.2b	uc003aax.1	24.27	375	254	10	264	616	38	404	4e-21	 100
