# genbank	refseq	assembly	ncbi	ucsc
CP068254.1		MT	MT	chrM
CP068255.2	NC_060947.1	X	X	chrX
CP068256.2	NC_060946.1	22	22	chr22
CP068257.2	NC_060945.1	21	21	chr21
CP068258.2	NC_060944.1	20	20	chr20
CP068259.2	NC_060943.1	19	19	chr19
CP068260.2	NC_060942.1	18	18	chr18
CP068261.2	NC_060941.1	17	17	chr17
CP068262.2	NC_060940.1	16	16	chr16
CP068263.2	NC_060939.1	15	15	chr15
CP068264.2	NC_060938.1	14	14	chr14
CP068265.2	NC_060937.1	13	13	chr13
CP068266.2	NC_060936.1	12	12	chr12
CP068267.2	NC_060935.1	11	11	chr11
CP068268.2	NC_060934.1	10	10	chr10
CP068269.2	NC_060933.1	9	9	chr9
CP068270.2	NC_060932.1	8	8	chr8
CP068271.2	NC_060931.1	7	7	chr7
CP068272.2	NC_060930.1	6	6	chr6
CP068273.2	NC_060929.1	5	5	chr5
CP068274.2	NC_060928.1	4	4	chr4
CP068275.2	NC_060927.1	3	3	chr3
CP068276.2	NC_060926.1	2	2	chr2
CP068277.2	NC_060925.1	1	1	chr1
CP086569.2	NC_060948.1	Y	Y	chrY
