# Assembly name:  T2T-CHM13v2.0
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA559484
# Submitter:      T2T Consortium
# Date:           2022-01-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# Expected final version: no
# Genome coverage: 30x
# GenBank assembly accession: GCA_009914755.4
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009914825.4		Primary Assembly
## GCA_009914855.2		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CP068277.2	<>	na	Primary Assembly	248387328	na
2	assembled-molecule	2	Chromosome	CP068276.2	<>	na	Primary Assembly	242696752	na
3	assembled-molecule	3	Chromosome	CP068275.2	<>	na	Primary Assembly	201105948	na
4	assembled-molecule	4	Chromosome	CP068274.2	<>	na	Primary Assembly	193574945	na
5	assembled-molecule	5	Chromosome	CP068273.2	<>	na	Primary Assembly	182045439	na
6	assembled-molecule	6	Chromosome	CP068272.2	<>	na	Primary Assembly	172126628	na
7	assembled-molecule	7	Chromosome	CP068271.2	<>	na	Primary Assembly	160567428	na
8	assembled-molecule	8	Chromosome	CP068270.2	<>	na	Primary Assembly	146259331	na
9	assembled-molecule	9	Chromosome	CP068269.2	<>	na	Primary Assembly	150617247	na
10	assembled-molecule	10	Chromosome	CP068268.2	<>	na	Primary Assembly	134758134	na
11	assembled-molecule	11	Chromosome	CP068267.2	<>	na	Primary Assembly	135127769	na
12	assembled-molecule	12	Chromosome	CP068266.2	<>	na	Primary Assembly	133324548	na
13	assembled-molecule	13	Chromosome	CP068265.2	<>	na	Primary Assembly	113566686	na
14	assembled-molecule	14	Chromosome	CP068264.2	<>	na	Primary Assembly	101161492	na
15	assembled-molecule	15	Chromosome	CP068263.2	<>	na	Primary Assembly	99753195	na
16	assembled-molecule	16	Chromosome	CP068262.2	<>	na	Primary Assembly	96330374	na
17	assembled-molecule	17	Chromosome	CP068261.2	<>	na	Primary Assembly	84276897	na
18	assembled-molecule	18	Chromosome	CP068260.2	<>	na	Primary Assembly	80542538	na
19	assembled-molecule	19	Chromosome	CP068259.2	<>	na	Primary Assembly	61707364	na
20	assembled-molecule	20	Chromosome	CP068258.2	<>	na	Primary Assembly	66210255	na
21	assembled-molecule	21	Chromosome	CP068257.2	<>	na	Primary Assembly	45090682	na
22	assembled-molecule	22	Chromosome	CP068256.2	<>	na	Primary Assembly	51324926	na
X	assembled-molecule	X	Chromosome	CP068255.2	<>	na	Primary Assembly	154259566	na
Y	assembled-molecule	Y	Chromosome	CP086569.2	<>	na	Primary Assembly	62460029	na
MT	assembled-molecule	MT	Mitochondrion	CP068254.1	<>	na	non-nuclear	16569	na
