NC_000001.11	chr1
NC_000010.11	chr10
NW_003315934.1	chr10_GL383545v1_alt
NW_003315935.1	chr10_GL383546v1_alt
NT_187579.1	chr10_KI270824v1_alt
NT_187580.1	chr10_KI270825v1_alt
NW_009646202.1	chr10_KN196480v1_fix
NW_011332692.1	chr10_KN538365v1_fix
NW_011332693.1	chr10_KN538366v1_fix
NW_011332694.1	chr10_KN538367v1_fix
NW_013171806.1	chr10_KQ090020v1_alt
NW_013171807.1	chr10_KQ090021v1_fix
NW_021160000.1	chr10_ML143354v1_fix
NW_021160001.1	chr10_ML143355v1_fix
NC_000011.10	chr11
NW_003315936.1	chr11_GL383547v1_alt
NW_003871073.1	chr11_JH159136v1_alt
NW_003871074.1	chr11_JH159137v1_alt
NT_187376.1	chr11_KI270721v1_random
NT_187581.1	chr11_KI270826v1_alt
NT_187582.1	chr11_KI270827v1_alt
NT_187583.1	chr11_KI270829v1_alt
NT_187584.1	chr11_KI270830v1_alt
NT_187585.1	chr11_KI270831v1_alt
NT_187586.1	chr11_KI270832v1_alt
NT_187656.1	chr11_KI270902v1_alt
NT_187657.1	chr11_KI270903v1_alt
NT_187681.1	chr11_KI270927v1_alt
NW_009646203.1	chr11_KN196481v1_fix
NW_011332695.1	chr11_KN538368v1_alt
NW_013171808.1	chr11_KQ090022v1_fix
NW_015148966.1	chr11_KQ759759v1_fix
NW_017363816.1	chr11_KV766195v1_fix
NW_019805495.1	chr11_KZ559108v1_fix
NW_019805496.1	chr11_KZ559109v1_fix
NW_019805497.1	chr11_KZ559110v1_alt
NW_019805498.1	chr11_KZ559111v1_alt
NW_021160002.1	chr11_ML143356v1_fix
NW_021160003.1	chr11_ML143357v1_fix
NW_021160004.1	chr11_ML143358v1_fix
NW_021160005.1	chr11_ML143359v1_fix
NW_021160006.1	chr11_ML143360v1_fix
NC_000012.12	chr12
NW_003315938.1	chr12_GL383549v1_alt
NW_003315939.2	chr12_GL383550v2_alt
NW_003315940.1	chr12_GL383551v1_alt
NW_003315941.1	chr12_GL383552v1_alt
NW_003315942.2	chr12_GL383553v2_alt
NW_003571049.1	chr12_GL877875v1_alt
NW_003571050.1	chr12_GL877876v1_alt
NT_187589.1	chr12_KI270833v1_alt
NT_187590.1	chr12_KI270834v1_alt
NT_187587.1	chr12_KI270835v1_alt
NT_187591.1	chr12_KI270836v1_alt
NT_187588.1	chr12_KI270837v1_alt
NT_187658.1	chr12_KI270904v1_alt
NW_009646204.1	chr12_KN196482v1_fix
NW_011332696.1	chr12_KN538369v1_fix
NW_011332697.1	chr12_KN538370v1_fix
NW_013171809.1	chr12_KQ090023v1_alt
NW_015148967.1	chr12_KQ759760v1_fix
NW_018654718.1	chr12_KZ208916v1_fix
NW_018654719.1	chr12_KZ208917v1_fix
NW_018654720.1	chr12_KZ208918v1_alt
NW_019805499.1	chr12_KZ559112v1_alt
NW_021160007.1	chr12_ML143361v1_fix
NW_021160008.1	chr12_ML143362v1_fix
NC_000013.11	chr13
NT_187592.1	chr13_KI270838v1_alt
NT_187593.1	chr13_KI270839v1_alt
NT_187594.1	chr13_KI270840v1_alt
NT_187595.1	chr13_KI270841v1_alt
NT_187596.1	chr13_KI270842v1_alt
NT_187597.1	chr13_KI270843v1_alt
NW_009646205.1	chr13_KN196483v1_fix
NW_011332698.1	chr13_KN538371v1_fix
NW_011332699.1	chr13_KN538372v1_fix
NW_011332700.1	chr13_KN538373v1_fix
NW_013171810.1	chr13_KQ090024v1_alt
NW_013171811.1	chr13_KQ090025v1_alt
NW_021160009.1	chr13_ML143363v1_fix
NW_021160010.1	chr13_ML143364v1_fix
NW_021160011.1	chr13_ML143365v1_fix
NW_021160012.1	chr13_ML143366v1_fix
NC_000014.9	chr14
NT_113796.3	chr14_GL000009v2_random
NT_113888.1	chr14_GL000194v1_random
NT_167219.1	chr14_GL000225v1_random
NT_187377.1	chr14_KI270722v1_random
NT_187378.1	chr14_KI270723v1_random
NT_187379.1	chr14_KI270724v1_random
NT_187380.1	chr14_KI270725v1_random
NT_187381.1	chr14_KI270726v1_random
NT_187598.1	chr14_KI270844v1_alt
NT_187599.1	chr14_KI270845v1_alt
NT_187600.1	chr14_KI270846v1_alt
NT_187601.1	chr14_KI270847v1_alt
NW_018654721.1	chr14_KZ208919v1_alt
NW_018654722.1	chr14_KZ208920v1_fix
NW_021160013.1	chr14_ML143367v1_fix
NW_021160014.1	chr14_ML143368v1_alt
NC_000015.10	chr15
NW_003315943.1	chr15_GL383554v1_alt
NW_003315944.2	chr15_GL383555v2_alt
NT_187382.1	chr15_KI270727v1_random
NT_187603.1	chr15_KI270848v1_alt
NT_187605.1	chr15_KI270849v1_alt
NT_187606.1	chr15_KI270850v1_alt
NT_187604.1	chr15_KI270851v1_alt
NT_187602.1	chr15_KI270852v1_alt
NT_187660.1	chr15_KI270905v1_alt
NT_187659.1	chr15_KI270906v1_alt
NW_011332701.1	chr15_KN538374v1_fix
NW_012132920.1	chr15_KQ031389v1_alt
NW_021160015.1	chr15_ML143369v1_fix
NW_021160016.1	chr15_ML143370v1_fix
NW_021160017.1	chr15_ML143371v1_fix
NW_021160018.1	chr15_ML143372v1_fix
NC_000016.10	chr16
NW_003315945.1	chr16_GL383556v1_alt
NW_003315946.1	chr16_GL383557v1_alt
NT_187383.1	chr16_KI270728v1_random
NT_187607.1	chr16_KI270853v1_alt
NT_187610.1	chr16_KI270854v1_alt
NT_187608.1	chr16_KI270855v1_alt
NT_187609.1	chr16_KI270856v1_alt
NW_012132921.1	chr16_KQ031390v1_alt
NW_013171812.1	chr16_KQ090026v1_alt
NW_013171813.1	chr16_KQ090027v1_alt
NW_017852933.1	chr16_KV880768v1_fix
NW_018654723.1	chr16_KZ208921v1_alt
NW_019805500.1	chr16_KZ559113v1_fix
NW_021160019.1	chr16_ML143373v1_fix
NC_000017.11	chr17
NT_113930.2	chr17_GL000205v2_random
NT_167251.2	chr17_GL000258v2_alt
NW_003315952.3	chr17_GL383563v3_alt
NW_003315953.2	chr17_GL383564v2_alt
NW_003315954.1	chr17_GL383565v1_alt
NW_003315955.1	chr17_GL383566v1_alt
NW_003871091.1	chr17_JH159146v1_alt
NW_003871092.1	chr17_JH159147v1_alt
NW_003871093.1	chr17_JH159148v1_alt
NT_187384.1	chr17_KI270729v1_random
NT_187385.1	chr17_KI270730v1_random
NT_187614.1	chr17_KI270857v1_alt
NT_187615.1	chr17_KI270858v1_alt
NT_187616.1	chr17_KI270859v1_alt
NT_187612.1	chr17_KI270860v1_alt
NT_187611.1	chr17_KI270861v1_alt
NT_187613.1	chr17_KI270862v1_alt
NT_187662.1	chr17_KI270907v1_alt
NT_187663.1	chr17_KI270908v1_alt
NT_187661.1	chr17_KI270909v1_alt
NT_187664.1	chr17_KI270910v1_alt
NW_016107299.1	chr17_KV575245v1_fix
NW_017363817.1	chr17_KV766196v1_fix
NW_017363818.1	chr17_KV766197v1_alt
NW_017363819.1	chr17_KV766198v1_alt
NW_019805501.1	chr17_KZ559114v1_alt
NW_021160020.1	chr17_ML143374v1_fix
NW_021160021.1	chr17_ML143375v1_fix
NC_000018.10	chr18
NW_003315956.1	chr18_GL383567v1_alt
NW_003315957.1	chr18_GL383568v1_alt
NW_003315958.1	chr18_GL383569v1_alt
NW_003315959.1	chr18_GL383570v1_alt
NW_003315960.1	chr18_GL383571v1_alt
NW_003315961.1	chr18_GL383572v1_alt
NT_187617.1	chr18_KI270863v1_alt
NT_187618.1	chr18_KI270864v1_alt
NT_187666.1	chr18_KI270911v1_alt
NT_187665.1	chr18_KI270912v1_alt
NW_013171814.1	chr18_KQ090028v1_fix
NW_014040928.1	chr18_KQ458385v1_alt
NW_018654724.1	chr18_KZ208922v1_fix
NW_019805502.1	chr18_KZ559115v1_fix
NW_019805503.1	chr18_KZ559116v1_alt
NC_000019.10	chr19
NT_113949.2	chr19_GL000209v2_alt
NW_003315962.1	chr19_GL383573v1_alt
NW_003315963.1	chr19_GL383574v1_alt
NW_003315964.2	chr19_GL383575v2_alt
NW_003315965.1	chr19_GL383576v1_alt
NW_003571054.1	chr19_GL949746v1_alt
NW_003571055.2	chr19_GL949747v2_alt
NW_003571056.2	chr19_GL949748v2_alt
NW_003571057.2	chr19_GL949749v2_alt
NW_003571058.2	chr19_GL949750v2_alt
NW_003571059.2	chr19_GL949751v2_alt
NW_003571060.1	chr19_GL949752v1_alt
NW_003571061.2	chr19_GL949753v2_alt
NT_187621.1	chr19_KI270865v1_alt
NT_187619.1	chr19_KI270866v1_alt
NT_187620.1	chr19_KI270867v1_alt
NT_187622.1	chr19_KI270868v1_alt
NT_187636.1	chr19_KI270882v1_alt
NT_187637.1	chr19_KI270883v1_alt
NT_187638.1	chr19_KI270884v1_alt
NT_187639.1	chr19_KI270885v1_alt
NT_187640.1	chr19_KI270886v1_alt
NT_187641.1	chr19_KI270887v1_alt
NT_187642.1	chr19_KI270888v1_alt
NT_187643.1	chr19_KI270889v1_alt
NT_187644.1	chr19_KI270890v1_alt
NT_187645.1	chr19_KI270891v1_alt
NT_187668.1	chr19_KI270914v1_alt
NT_187669.1	chr19_KI270915v1_alt
NT_187670.1	chr19_KI270916v1_alt
NT_187671.1	chr19_KI270917v1_alt
NT_187672.1	chr19_KI270918v1_alt
NT_187673.1	chr19_KI270919v1_alt
NT_187674.1	chr19_KI270920v1_alt
NT_187675.1	chr19_KI270921v1_alt
NT_187676.1	chr19_KI270922v1_alt
NT_187677.1	chr19_KI270923v1_alt
NT_187683.1	chr19_KI270929v1_alt
NT_187684.1	chr19_KI270930v1_alt
NT_187685.1	chr19_KI270931v1_alt
NT_187686.1	chr19_KI270932v1_alt
NT_187687.1	chr19_KI270933v1_alt
NT_187693.1	chr19_KI270938v1_alt
NW_009646206.1	chr19_KN196484v1_fix
NW_014040929.1	chr19_KQ458386v1_fix
NW_016107300.1	chr19_KV575246v1_alt
NW_016107301.1	chr19_KV575247v1_alt
NW_016107302.1	chr19_KV575248v1_alt
NW_016107303.1	chr19_KV575249v1_alt
NW_016107304.1	chr19_KV575250v1_alt
NW_016107305.1	chr19_KV575251v1_alt
NW_016107306.1	chr19_KV575252v1_alt
NW_016107307.1	chr19_KV575253v1_alt
NW_016107308.1	chr19_KV575254v1_alt
NW_016107309.1	chr19_KV575255v1_alt
NW_016107310.1	chr19_KV575256v1_alt
NW_016107311.1	chr19_KV575257v1_alt
NW_016107312.1	chr19_KV575258v1_alt
NW_016107313.1	chr19_KV575259v1_alt
NW_016107314.1	chr19_KV575260v1_alt
NW_021160022.1	chr19_ML143376v1_fix
NW_003315905.1	chr1_GL383518v1_alt
NW_003315906.1	chr1_GL383519v1_alt
NW_003315907.2	chr1_GL383520v2_alt
NT_187361.1	chr1_KI270706v1_random
NT_187362.1	chr1_KI270707v1_random
NT_187363.1	chr1_KI270708v1_random
NT_187364.1	chr1_KI270709v1_random
NT_187365.1	chr1_KI270710v1_random
NT_187366.1	chr1_KI270711v1_random
NT_187367.1	chr1_KI270712v1_random
NT_187368.1	chr1_KI270713v1_random
NT_187369.1	chr1_KI270714v1_random
NT_187516.1	chr1_KI270759v1_alt
NT_187514.1	chr1_KI270760v1_alt
NT_187518.1	chr1_KI270761v1_alt
NT_187515.1	chr1_KI270762v1_alt
NT_187519.1	chr1_KI270763v1_alt
