GCF_946900835.1_NSPWAT	347 Nitrospina watsonii 2023
GCF_002973605.1_ASM297360v1	Abditibacterium utsteinense (LMG 29911 2018)
GCF_013267415.1_ASM1326741v1	Abiotrophia defectiva (FDAARGOS_785 2020)
GCF_033971885.1_ASM3397188v1	Absicoccus intestinalis (Cla-KB-P134 2023)
GCF_003725415.1_YH-panp20	Absicoccus porci (2018)
GCF_022807975.1_ASM2280797v1	Abyssalbus ytuae (MT3330 2022)
GCF_003151135.1_ASM315113v1	Abyssibacter profundi (OUC007 2018)
GCF_020447305.1_ASM2044730v2	Abyssibius alkaniclasticus (960558 2022)
GCF_001989575.1_ASM198957v1	Abyssicoccus albus (S31 2017)
GCF_001559865.1_ASM155986v1	Abyssisolibacter fermentans (MCWD3 2016)
GCF_016592595.1_ASM1659259v1	Abyssogena phaseoliformis symbiont (OG214 2020)
GCF_017377855.1_ASM1737785v1	Acanthopleuribacter pedis (KCTC 12899 2021)
GCF_000376245.1_ASM37624v1	Acaricomes phytoseiuli (DSM 14247 2013)
GCF_000018105.1_ASM1810v1	Acaryochloris marina (MBIC11017 2007)
GCF_003231495.1_AcaThom1.0	Acaryochloris thomasi (RCC1774 2018)
GCF_010131535.1_ASM1013153v1	Acerihabitans arboris (SAP-6 2020)
GCF_900103835.1_IMG-taxon_2667527408_annotated_assembly	Acetanaerobacterium elongatum (CGMCC 1.5012 2016)
GCF_943193215.1_Acetatifactor_sp_nov_DSM110981	Acetatifactor aquisgranensis (DSM 110981 2022)
GCF_024623325.1_ASM2462332v1	Acetatifactor muris (DSM 23669 2022)
GCF_017357865.1_ASM1735786v1	Aceticella autotrophica (3443-3Ac 2021)
GCF_004359375.1_ASM435937v1	Acetilactobacillus jinshanensis (HSLZ-75 2019)
GCF_900112085.1_IMG-taxon_2651870361_annotated_assembly	Acetitomaculum ruminis (DSM 5522 2016)
GCF_000179595.2_ASM17959v2	Acetivibrio cellulolyticus (CD2 2012)
GCF_000237085.1_ASM23708v1	Acetivibrio clariflavus (DSM 19732 2011)
GCF_001461035.1_ASM146103v1	Acetivibrio ethanolgignens (ACET-33324 2015)
GCF_004102745.1_ASM410274v1	Acetivibrio mesophilus (N2K1 2019)
GCF_002844395.1_ASM284439v1	Acetivibrio saccincola (GGR1 2017)
GCF_026155355.1_ASM2615535v1	Acetivibrio straminisolvens (FC2 2022)
GCF_000015865.1_ASM1586v1	Acetivibrio thermocellus (ATCC 27405 2007)
GCF_001692755.1_ASM169275v1	Acetivibrio thermocellus DSM 2360 (LQRI 2016)
GCF_900168025.1_IMG-taxon_2588253727_annotated_assembly	Acetoanaerobium noterae (ATCC 35199 2017)
GCF_017874355.1_ASM1787435v1	Acetoanaerobium pronyense (DSM 27512 2021)
GCF_000196455.1_ASM19645v1	Acetoanaerobium sticklandii (DSM 519 2010)
GCF_004341595.1_ASM434159v1	Acetobacter aceti NBRC 14818 (DSM 3508 2019)
GCF_002173775.1_ASM217377v1	Acetobacter ascendens (SRCM101447 2017)
GCF_001580535.1_ASM158053v1	Acetobacter cerevisiae (LMG 1625 2016)
GCF_000963925.1_ASM96392v1	Acetobacter cibinongensis (4H-1 2015)
GCF_011516755.1_ASM1151675v1	Acetobacter conturbans (LMG 1627 2020)
GCF_011516945.1_ASM1151694v1	Acetobacter estunensis (LMG 1626 2020)
GCF_022483405.1_ASM2248340v1	Acetobacter fabarum (UW_TS_ACET1_1 2022)
GCF_011516735.1_ASM1151673v1	Acetobacter fallax (LMG 1636 2020)
GCF_026240015.1_ASM2624001v1	Acetobacter farinalis (KACC 21251 2022)
GCF_017377735.1_ASM1737773v1	Acetobacter garciniae (TBRC 12339 2021)
GCF_011516865.1_ASM1151686v1	Acetobacter ghanensis (LMG 23848 2020)
GCF_007991075.1_ASM799107v1	Acetobacter indonesiensis (NBRC 16471 2019)
GCF_011516885.1_ASM1151688v1	Acetobacter lambici (LMG 27439 2020)
GCF_011516875.1_ASM1151687v1	Acetobacter lovaniensis (LMG 1617 2020)
GCF_001580615.1_ASM158061v1	Acetobacter malorum (LMG 1746 2016)
GCF_011516835.1_ASM1151683v1	Acetobacter musti (LMG 30640 2020)
GCF_007991375.1_ASM799137v1	Acetobacter nitrogenifigens DSM 23921 (NBRC 105050 2019)
GCF_011516825.1_ASM1151682v1	Acetobacter oeni (LMG 21952 2020)
GCF_018256975.1_ASM1825697v1	Acetobacter okinawensis (Dm-38 2021)
GCF_000963965.1_ASM96396v1	Acetobacter orientalis (21F-2 2015)
GCF_006539325.1_ASM653932v1	Acetobacter orleanensis (NBRC 13752 2019)
GCF_002220195.1_ASM222019v1	Acetobacter oryzifermentans (dm 2017)
GCF_004014775.2_ASM401477v2	Acetobacter oryzoeni (B6 2019)
GCF_047721125.1_ASM4772112v1	Acetobacter papayae (WK050_bin.3 2025)
GCF_009914215.2_ASM991421v2	Acetobacter pasteurianus (CICC 22518 2023)
GCF_006539345.1_ASM653934v1	Acetobacter peroxydans (NBRC 13755 2019)
GCF_018256955.1_ASM1825695v1	Acetobacter persici (Dm-48 2021)
GCF_002738225.1_ASM273822v1	Acetobacter pomorum (LHT 2458 2017)
GCF_017377715.1_ASM1737771v1	Acetobacter sacchari (TBRC 11175 2021)
GCF_001499615.1_Acetobacter_senegalensis_108B	Acetobacter senegalensis (108B 2016)
GCF_011516765.1_ASM1151676v1	Acetobacter sicerae (LMG 1531 2020)
GCF_026239995.1_ASM2623999v1	Acetobacter suratthaniensis (KACC 21252 2022)
GCF_000964225.1_ASM96422v1	Acetobacter syzygii (9H-2 2015)
GCF_026240055.1_ASM2624005v1	Acetobacter thailandicus (KACC 21253 2022)
GCF_030644465.1_ASM3064446v1	Acetobacter tropicalis (DmCS006 2023)
GCF_008365315.1_ASM836531v1	Acetobacter vaccinii (KACC 21233 2019)
GCF_900235925.1_ABAKI	Acetobacterium bakii 2018
GCF_047456275.1_118465	Acetobacterium carbinolicum (DSM 2925 2025)
GCF_047456285.1_57435	Acetobacterium dehalogenans (DSM 11527 2025)
GCF_014284475.1_ASM1428447v1	Acetobacterium fimetarium (DSM 8238 2020)
GCF_008086595.1_ASM808659v1	Acetobacterium paludosum (DSM 8237 2019)
GCF_008086615.1_ASM808661v1	Acetobacterium tundrae (DSM 9173 2019)
GCF_023700225.1_ASM2370022v1	Acetobacterium wieringae (CH1 2022)
GCF_000247605.1_ASM24760v1	Acetobacterium woodii (DSM 1030 2012)
GCF_004340205.1_ASM434020v1	Acetobacteroides hydrogenigenes (RL-C 2019)
GCF_000144695.1_ASM14469v1	Acetohalobium arabaticum (DSM 5501 2010)
GCF_900129645.1_IMG-taxon_2695420966_annotated_assembly	Acetomicrobium flavidum (DSM 20664 2016)
