   SW  perc perc perc  query     position in query    matching repeat         position in  repeat
score  div. del. ins.  sequence  begin  end (left)   repeat   class/family   begin  end (left)  ID

 1000   0.0  0.0  0.0  Base       1       3    (0) +  R1 Unknown  1  3    (0)       
 1000   0.0  0.0  0.0  Base       8      11    (0) +  R1 Unknown  1  4    (0)
 5000   0.0  0.0  0.0  Base      13      15    (0) +  R2 Unknown  1  3    (0)
 5000   0.0  0.0  0.0  Base      17      19    (0) +  R2 Unknown  1  3    (0)
 1000   0.0  0.0  0.0  Base      21      21    (0) +  R3 Unknown  1  1    (0)
 1000   0.0  0.0  0.0  Base      22      25    (0) +  R1 Unknown  1  4    (0)
 1000   0.0  0.0  0.0  Base      27      29    (0) +  R5 Unknown  1  3    (0)
 1000   0.0  0.0  0.0  Base      32      32    (0) +  R3 Unknown  1  1    (0)
 1000   0.0  0.0  0.0  Base      34      34    (0) +  R3 Unknown  1  1    (0)
 1000   0.0  0.0  0.0  Base      36      36    (0) +  R3 Unknown  1  1    (0)
 1000   0.0  0.0  0.0  Base      38      38    (0) +  R3 Unknown  1  1    (0)
 1000   0.0  0.0  0.0  Base      41      51    (0) +  R4 Unknown  1 11    (0)
