cytoBand	Chromosome Band	bed 4 +	Chromosome Bands Localized by FISH Mapping Clones	1	1.000000	0	0	0	150	50	50	0	0	0			
mapGenethon	STS Markers	bed 5 +	Various STS Markers	1	2.000000	0	0	0	127	127	127	0	0	0			
fishClones	FISH Clones	bed 5 +	Clones placed on Cytogenetic Map using FISH	0	2.500000	0	150	0	127	202	127	0	0	0			
stsMapMouse	STS Markers	bed 5 +	STS Markers on Genetic Maps	1	3.000000	0	0	0	128	128	255	0	0	0			
stsMap	STS Markers	bed 5 +	STS Markers on Genetic (blue) and Radiation Hybrid (black) Maps	1	3.000000	0	0	0	128	128	255	0	0	0			
stsMarker	STS Markers	bed 5 +	STS Markers on Genetic (blue), FISH (green) and RH (black) Maps	1	3.000000	0	0	0	128	128	255	0	0	0			
mouseSyn	NCBI Synteny	bed 4+	Corresponding Chromosome in Mouse	0	4.000000	120	70	30	187	162	142	0	0	0			
mouseOrthoSeed	Tight Ortholog	bed 5+	Tight Mouse Orthology using Fgenesh++ Gene Predictions (only reciprocal best)	1	4.100000	0	100	0	255	240	200	1	0	0			
mouseOrtho	Mouse Ortholog	bed 5+	Mouse Orthology using Fgenesh++ Gene Predictions (top 4 reciprocal best)	1	4.100000	0	100	0	255	240	200	1	0	0			
humanParalog	Human Paralog	bed 5+	Human Paralogs using Fgenesh++ Gene Predictions	0	4.200000	0	100	0	255	240	200	1	0	0			
synteny100000	UCSC Synteny	bed 4 .	Mouse Synteny using blastz single coverage with 100,000 base window	0	4.300000	0	100	0	255	240	200	0	0	0			
syntenySanger	Sanger Synteny	bed 4+	Sanger Corresponding Chromosome in Mouse (100k window)	0	4.400000	120	70	30	187	162	142	0	0	0			
isochores	Isochores	bed 4 +	GC-rich (dark) and AT-rich (light) Isochores	0	5.000000	0	0	0	127	127	127	1	0	0			
gcPercent	GC Percent	bed 4 +	Percentage GC in 20,000 Base Windows	0	6.000000	0	0	0	127	127	127	1	0	0			
GCwiggle	GC Samples	sample 9	GC Percent Sample Track (every 20,000 bases)	0	6.100000	0	0	0	127	127	127	0	0	1	chr22,		
ctgPos	Map Contigs		Physical Map Contigs	0	7.000000	150	0	0	202	127	127	0	0	0			
gold	Assembly	bed 3 +	Assembly from Fragments	0	8.000000	150	100	30	230	170	40	0	0	0			
gap	Gap	bed 3 +	Gap Locations	1	9.000000	0	0	0	127	127	127	0	0	0			
clonePos	Coverage		Clone Coverage/Fragment Position	0	9.500000	0	0	0	180	180	180	0	0	0			
celeraCoverage	WSSD Coverage	bed 6 +	Regions Assayed for SDD	0	10.000000	0	0	0	127	127	127	0	0	0			
celeraDupPositive	WSSD Duplication	bed 6 +	Sequence identified as duplicate by high depth Celera Reads	0	10.000000	0	0	0	127	127	127	0	0	0			
genomicSuperDups	filtered WGAC	bed 6	Duplications of >1000 Bases of non-repeatMasked Sequence	0	10.000000	0	0	0	127	127	127	0	0	0			
bacEndPairs	BAC End Pairs		BAC End Pairs	0	10.000000	0	0	0	127	127	127	0	0	0			
genMapDb	GenMapDB Clones	bed 6 +	GenMapDB BAC Clones	0	10.100000	0	0	0	127	127	127	0	0	0			
genomicDups	Duplications	bed 6 +	Duplications of >1000 Bases Sequence	0	10.500000	170	0	0	160	150	0	0	0	0			
dupes	Duplications	bed 6 .	Duplications of >98% Identity >1kb	1	11.000000	0	0	0	127	127	127	0	0	0			
cgh	UCSF CGH	bed 4 +	UCSF Comparative Genomic Hybridizations	0	11.500000	0	0	0	127	127	127	0	0	0			
mcnBreakpoints	MCN Breakpoints	bed 4 +	MCN breakpoints	0	11.700000	0	0	0	127	127	127	0	0	0			
refGene	RefSeq Genes	genePred refPep refMrna	RefSeq Genes	2	12.000000	12	12	120	133	133	187	0	0	0			
genieKnown	Known Genes	genePred	Known Genes (from full length mRNAs)	0	12.000000	20	20	170	137	137	212	0	0	0			
loweProbes	Lowe's Probes	bed 6	3 Oligos selected from sanger 22 on Chr22	0	12.990000	0	0	0	127	127	127	0	0	1	chr22,		
sanger22	Sanger 22	genePred	Sanger Institute Chromosome 22 Genes	2	13.000000	0	100	180	127	177	217	0	0	1	chr22,		
sanger20	Sanger 20	genePred	Sanger Institute Chromosome 20 Genes	2	13.000000	0	100	180	127	177	217	0	0	1	chr20,		
freen	Pet Freen	psl .	Jims Pet Freen	0	13.010000	100	0	100	177	127	177	0	0	1	chr22,		
sanger22pseudo	Sanger 22 Pseudo	genePred	Sanger Center Chromosome 22 Pseudogenes	0	13.100000	30	130	210	142	192	232	0	0	1	chr22,		
psuReg	Known Regulatory	bed 4 .	Functional Regulatory Elements compiled by Penn State	1	13.400000	30	130	210	142	192	232	0	0	0			
genieAlt	AltGenie	genePred genieAltPep	Genie Gene Predictions from Affymetrix	0	14.000000	125	0	150	190	127	202	0	0	0			
acembly	Acembly Genes	genePred acemblyPep acemblyMrna	Acembly Gene Predictions With Alt-splicing	1	14.500000	155	0	125	205	127	190	0	0	0		http://www.ncbi.nlm.nih.gov/AceView/av.cgi?db=human&l=$$	
aceTest	Acembly Test	genePred	Acembly Test Predictions	2	14.510000	195	50	165	225	152	210	0	0	0		http://www.ncbi.nlm.nih.gov/AceView/av.cgi?db=GP&l=$$	
twinscan	Twinscan	genePred twinscanPep	Twinscan Gene Predictions Using Mouse/Human Homology	1	15.000000	0	100	100	0	50	50	0	0	0			
genomeScan	NCBI GenomeScan	genePred genomeScanPep	$Organism GenomeScan Models from NCBI	1	15.000000	0	0	0	127	127	127	0	0	0			
ncbiGenes	NCBI Gene Models	genePred ncbiPep	$Organism Gene Models from NCBI	1	15.000000	0	0	0	127	127	127	0	0	0			
ensEst	Ensembl ESTs	genePred ensEstPep	$Organism ESTs From Ensembl	1	15.000000	0	0	0	127	127	127	0	0	0			
ensGene	Ensembl Genes	genePred ensPep	Ensembl Gene Predictions	1	15.000000	150	0	0	202	127	127	0	0	0		http://www.ensembl.org/Mus_musculus/transview?transcript=$$	
sgpGene	SGP Genes	genePred sgpPep	SGP Gene Predictions Using Mouse Genome Homology	1	15.500000	0	90	100	127	172	177	0	0	0			
