# asmId	GCA_...	GCF_...	identical yes/no
felCat8	GCA_000181335.3	GCF_000181335.2	no
nomLeu3	GCA_000146795.3	GCF_000146795.2	no
hg38	GCA_000001405.29	GCF_000001405.40	no
susScr3	GCA_000003025.4	GCF_000003025.5	no
saiBol1	GCA_000235385.1	GCF_000235385.1	no
