id	comment	origAssembly	newAssembly	origChrom	origStart	origEnd	status	message	newChrom	newStart	newEnd
test1.1	initial	hg10	hg16	chr1	1	1	FAILURE	Deleted in new	NULL	0	0
test1.2	initial	hg12	hg13	chr1	1	1	FAILURE	Deleted in new	NULL	0	0
test1.3	initial	hg12	hg15	chr1	1	1	FAILURE	Deleted in new	NULL	0	0
test1.4	initial	hg12	hg16	chr1	1	1	FAILURE	Deleted in new	NULL	0	0
test1.5	initial	hg13	hg15	chr1	1	1	FAILURE	Deleted in new	NULL	0	0
test1.6	initial	hg13	hg16	chr1	1	1	FAILURE	Deleted in new	NULL	0	0
test1.7	initial	hg15	hg16	chr1	1	1	FAILURE	Deleted in new	NULL	0	0
test1.8	initial	hg16	hg17	chr1	1	1	FAILURE	Deleted in new	NULL	0	0
test1.9	initial	mm4	mm5	chr1	1	1	FAILURE	Deleted in new	NULL	0	0
test2.1	full chrom	hg10	hg16	chr1	1	250000000	FAILURE	Split in new	NULL	0	0
test2.2	full chrom	hg12	hg13	chr1	1	250000000	FAILURE	Split in new	NULL	0	0
test2.3	full chrom	hg12	hg15	chr1	1	250000000	FAILURE	Split in new	NULL	0	0
test2.4	full chrom	hg12	hg16	chr1	1	250000000	FAILURE	Split in new	NULL	0	0
test2.5	full chrom	hg13	hg16	chr1	1	250000000	FAILURE	Split in new	NULL	0	0
test2.6	full chrom	hg13	hg15	chr1	1	250000000	FAILURE	Split in new	NULL	0	0
test2.7	full chrom	hg15	hg16	chr1	1	250000000	FAILURE	Split in new	NULL	0	0
test2.8	full chrom	hg16	hg17	chr1	1	250000000	FAILURE	Split in new	NULL	0	0
test2.9	full chrom	mm4	mm5	chr1	1	199000000	FAILURE	Split in new	NULL	0	0
test2.10	full chrom	mm5	mm6	chr11	1	121648857	SUCCESS		chr11	3000000	121798822
test2.11	full chrom	mm5	mm6	chr1	1	195203927	FAILURE	Split in new	NULL	0	0
test3.1	contig NT_077402	hg15	hg16	chr1	50000	217280	SUCCESS		chr1	0	167280
test3.2	contig NT_032977	hg15	hg16	chr1	46908798	68889433	SUCCESS		chr1	46920182	68900000
test3.3	contig NT_034471	hg13	hg16	chr1	0	535608	FAILURE	Split in new	NULL	0	0
test3.4	contig NT_034471	hg13	hg15	chr1	0	535608	FAILURE	Split in new	NULL	0	0
test3.5	contig NT_077988	hg16	hg17	chr1	140794983	140974431	FAILURE	Split in new	NULL	0	0
