alias	chrom	source
1	chr1	assembly,ensembl
CM000663.2	chr1	genbank
NC_000001.11	chr1	refseq
10	chr10	assembly,ensembl
CM000672.2	chr10	genbank
NC_000010.11	chr10	refseq
GL383545.1	chr10_GL383545v1_alt	genbank
HSCHR10_1_CTG1	chr10_GL383545v1_alt	assembly
NW_003315934.1	chr10_GL383545v1_alt	refseq
GL383546.1	chr10_GL383546v1_alt	genbank
HSCHR10_1_CTG2	chr10_GL383546v1_alt	assembly
NW_003315935.1	chr10_GL383546v1_alt	refseq
HSCHR10_1_CTG3	chr10_KI270824v1_alt	assembly
KI270824.1	chr10_KI270824v1_alt	genbank
NT_187579.1	chr10_KI270824v1_alt	refseq
HSCHR10_1_CTG4	chr10_KI270825v1_alt	assembly
KI270825.1	chr10_KI270825v1_alt	genbank
NT_187580.1	chr10_KI270825v1_alt	refseq
HG2191_PATCH	chr10_KN196480v1_fix	assembly
KN196480.1	chr10_KN196480v1_fix	genbank
NW_009646202.1	chr10_KN196480v1_fix	refseq
HG2241_PATCH	chr10_KN538365v1_fix	assembly
KN538365.1	chr10_KN538365v1_fix	genbank
NW_011332692.1	chr10_KN538365v1_fix	refseq
HG2242_HG2243_PATCH	chr10_KN538366v1_fix	assembly
KN538366.1	chr10_KN538366v1_fix	genbank
NW_011332693.1	chr10_KN538366v1_fix	refseq
HG2244_HG2245_PATCH	chr10_KN538367v1_fix	assembly
KN538367.1	chr10_KN538367v1_fix	genbank
NW_011332694.1	chr10_KN538367v1_fix	refseq
HSCHR10_1_CTG6	chr10_KQ090020v1_alt	assembly
KQ090020.1	chr10_KQ090020v1_alt	genbank
NW_013171806.1	chr10_KQ090020v1_alt	refseq
HG2334_PATCH	chr10_KQ090021v1_fix	assembly
KQ090021.1	chr10_KQ090021v1_fix	genbank
NW_013171807.1	chr10_KQ090021v1_fix	refseq
11	chr11	assembly,ensembl
CM000673.2	chr11	genbank
NC_000011.10	chr11	refseq
GL383547.1	chr11_GL383547v1_alt	genbank
HSCHR11_1_CTG1_1	chr11_GL383547v1_alt	assembly
NW_003315936.1	chr11_GL383547v1_alt	refseq
HG142_HG150_NOVEL_TEST	chr11_JH159136v1_alt	assembly
JH159136.1	chr11_JH159136v1_alt	genbank
NW_003871073.1	chr11_JH159136v1_alt	refseq
HG151_NOVEL_TEST	chr11_JH159137v1_alt	assembly
JH159137.1	chr11_JH159137v1_alt	genbank
NW_003871074.1	chr11_JH159137v1_alt	refseq
HSCHR11_CTG1_UNLOCALIZED	chr11_KI270721v1_random	assembly
KI270721.1	chr11_KI270721v1_random	ensembl,genbank
NT_187376.1	chr11_KI270721v1_random	refseq
HSCHR11_1_CTG2	chr11_KI270826v1_alt	assembly
KI270826.1	chr11_KI270826v1_alt	genbank
NT_187581.1	chr11_KI270826v1_alt	refseq
HSCHR11_1_CTG3	chr11_KI270827v1_alt	assembly
KI270827.1	chr11_KI270827v1_alt	genbank
NT_187582.1	chr11_KI270827v1_alt	refseq
HSCHR11_1_CTG5	chr11_KI270829v1_alt	assembly
KI270829.1	chr11_KI270829v1_alt	genbank
NT_187583.1	chr11_KI270829v1_alt	refseq
HSCHR11_1_CTG6	chr11_KI270830v1_alt	assembly
KI270830.1	chr11_KI270830v1_alt	genbank
NT_187584.1	chr11_KI270830v1_alt	refseq
HSCHR11_1_CTG7	chr11_KI270831v1_alt	assembly
KI270831.1	chr11_KI270831v1_alt	genbank
NT_187585.1	chr11_KI270831v1_alt	refseq
HSCHR11_1_CTG8	chr11_KI270832v1_alt	assembly
KI270832.1	chr11_KI270832v1_alt	genbank
NT_187586.1	chr11_KI270832v1_alt	refseq
HSCHR11_2_CTG1	chr11_KI270902v1_alt	assembly
KI270902.1	chr11_KI270902v1_alt	genbank
NT_187656.1	chr11_KI270902v1_alt	refseq
HSCHR11_2_CTG1_1	chr11_KI270903v1_alt	assembly
KI270903.1	chr11_KI270903v1_alt	genbank
NT_187657.1	chr11_KI270903v1_alt	refseq
HSCHR11_3_CTG1	chr11_KI270927v1_alt	assembly
KI270927.1	chr11_KI270927v1_alt	genbank
NT_187681.1	chr11_KI270927v1_alt	refseq
HG2217_PATCH	chr11_KN196481v1_fix	assembly
KN196481.1	chr11_KN196481v1_fix	genbank
NW_009646203.1	chr11_KN196481v1_fix	refseq
HSCHR11_1_CTG1_2	chr11_KN538368v1_alt	assembly
KN538368.1	chr11_KN538368v1_alt	genbank
NW_011332695.1	chr11_KN538368v1_alt	refseq
HG2116_PATCH	chr11_KQ090022v1_fix	assembly
KQ090022.1	chr11_KQ090022v1_fix	genbank
NW_013171808.1	chr11_KQ090022v1_fix	refseq
HG107_PATCH	chr11_KQ759759v1_fix	assembly
KQ759759.1	chr11_KQ759759v1_fix	genbank
NW_015148966.1	chr11_KQ759759v1_fix	refseq
HG1708_PATCH	chr11_KV766195v1_fix	assembly
KV766195.1	chr11_KV766195v1_fix	genbank
NW_017363816.1	chr11_KV766195v1_fix	refseq
HG2060_PATCH	chr11_KZ559108v1_fix	assembly
KZ559108.1	chr11_KZ559108v1_fix	genbank
NW_019805495.1	chr11_KZ559108v1_fix	refseq
HG2114_PATCH	chr11_KZ559109v1_fix	assembly
KZ559109.1	chr11_KZ559109v1_fix	genbank
NW_019805496.1	chr11_KZ559109v1_fix	refseq
HSCHR11_2_CTG8	chr11_KZ559110v1_alt	assembly
KZ559110.1	chr11_KZ559110v1_alt	genbank
NW_019805497.1	chr11_KZ559110v1_alt	refseq
HSCHR11_1_CTG3_1	chr11_KZ559111v1_alt	assembly
KZ559111.1	chr11_KZ559111v1_alt	genbank
NW_019805498.1	chr11_KZ559111v1_alt	refseq
12	chr12	assembly,ensembl
CM000674.2	chr12	genbank
NC_000012.12	chr12	refseq
GL383549.1	chr12_GL383549v1_alt	genbank
HSCHR12_1_CTG2	chr12_GL383549v1_alt	assembly
NW_003315938.1	chr12_GL383549v1_alt	refseq
GL383550.2	chr12_GL383550v2_alt	genbank
HSCHR12_1_CTG2_1	chr12_GL383550v2_alt	assembly
NW_003315939.2	chr12_GL383550v2_alt	refseq
GL383551.1	chr12_GL383551v1_alt	genbank
HSCHR12_4_CTG2_1	chr12_GL383551v1_alt	assembly
NW_003315940.1	chr12_GL383551v1_alt	refseq
GL383552.1	chr12_GL383552v1_alt	genbank
HSCHR12_2_CTG2_1	chr12_GL383552v1_alt	assembly
NW_003315941.1	chr12_GL383552v1_alt	refseq
GL383553.2	chr12_GL383553v2_alt	genbank
HSCHR12_3_CTG2_1	chr12_GL383553v2_alt	assembly
NW_003315942.2	chr12_GL383553v2_alt	refseq
GL877875.1	chr12_GL877875v1_alt	genbank
HSCHR12_1_CTG1	chr12_GL877875v1_alt	assembly
NW_003571049.1	chr12_GL877875v1_alt	refseq
GL877876.1	chr12_GL877876v1_alt	genbank
HSCHR12_2_CTG2	chr12_GL877876v1_alt	assembly
NW_003571050.1	chr12_GL877876v1_alt	refseq
HSCHR12_5_CTG2_1	chr12_KI270833v1_alt	assembly
KI270833.1	chr12_KI270833v1_alt	genbank
NT_187589.1	chr12_KI270833v1_alt	refseq
HSCHR12_6_CTG2_1	chr12_KI270834v1_alt	assembly
KI270834.1	chr12_KI270834v1_alt	genbank
NT_187590.1	chr12_KI270834v1_alt	refseq
HSCHR12_4_CTG2	chr12_KI270835v1_alt	assembly
KI270835.1	chr12_KI270835v1_alt	genbank
NT_187587.1	chr12_KI270835v1_alt	refseq
HSCHR12_7_CTG2_1	chr12_KI270836v1_alt	assembly
KI270836.1	chr12_KI270836v1_alt	genbank
NT_187591.1	chr12_KI270836v1_alt	refseq
HSCHR12_5_CTG2	chr12_KI270837v1_alt	assembly
KI270837.1	chr12_KI270837v1_alt	genbank
NT_187588.1	chr12_KI270837v1_alt	refseq
HSCHR12_3_CTG2	chr12_KI270904v1_alt	assembly
KI270904.1	chr12_KI270904v1_alt	genbank
NT_187658.1	chr12_KI270904v1_alt	refseq
HG23_PATCH	chr12_KN196482v1_fix	assembly
KN196482.1	chr12_KN196482v1_fix	genbank
NW_009646204.1	chr12_KN196482v1_fix	refseq
HG1362_PATCH	chr12_KN538369v1_fix	assembly
KN538369.1	chr12_KN538369v1_fix	genbank
NW_011332696.1	chr12_KN538369v1_fix	refseq
HG2247_PATCH	chr12_KN538370v1_fix	assembly
KN538370.1	chr12_KN538370v1_fix	genbank
NW_011332697.1	chr12_KN538370v1_fix	refseq
HSCHR12_2_CTG1	chr12_KQ090023v1_alt	assembly
KQ090023.1	chr12_KQ090023v1_alt	genbank
NW_013171809.1	chr12_KQ090023v1_alt	refseq
HG2063_PATCH	chr12_KQ759760v1_fix	assembly
KQ759760.1	chr12_KQ759760v1_fix	genbank
NW_015148967.1	chr12_KQ759760v1_fix	refseq
HG1815_PATCH	chr12_KZ208916v1_fix	assembly
KZ208916.1	chr12_KZ208916v1_fix	genbank
NW_018654718.1	chr12_KZ208916v1_fix	refseq
HG2047_PATCH	chr12_KZ208917v1_fix	assembly
KZ208917.1	chr12_KZ208917v1_fix	genbank
NW_018654719.1	chr12_KZ208917v1_fix	refseq
HSCHR12_8_CTG2_1	chr12_KZ208918v1_alt	assembly
KZ208918.1	chr12_KZ208918v1_alt	genbank
NW_018654720.1	chr12_KZ208918v1_alt	refseq
HSCHR12_9_CTG2_1	chr12_KZ559112v1_alt	assembly
KZ559112.1	chr12_KZ559112v1_alt	genbank
NW_019805499.1	chr12_KZ559112v1_alt	refseq
13	chr13	assembly,ensembl
CM000675.2	chr13	genbank
NC_000013.11	chr13	refseq
HSCHR13_1_CTG1	chr13_KI270838v1_alt	assembly
KI270838.1	chr13_KI270838v1_alt	genbank
NT_187592.1	chr13_KI270838v1_alt	refseq
